4/24/2012 21:22:27		I have a roommate	Off campus	Under $500					BXA	"""Economic considerations"", ""Proximity to Campus (close)"""	poor college student and need affordable rent	SDS. Fine Arts
4/24/2012 16:44:22		I live alone	Off campus	$500-$800					CFA	"Proximity to Campus (close), Quality of Housing"	"Had to be able to walk safely and quickly to campus, wanted to live alone."	Architecture
4/24/2012 17:05:01		I live alone	Off campus	Over $800 OR on campus					CFA	"Economic considerations (rent, utilities, etc.), Quality of Housing"	"Having a car made the distance from campus a non-issue. I wanted an apartment that was nice, but also affordable."	Music
4/24/2012 16:15:57		I live alone	On campus	$500-$800					CIT	"Proximity to Campus (close), Social Life"	I'm actually living in sorority housing. It was so exciting to know that I would like and trust all the people that I live with. 	Materials Science and Engineering
4/24/2012 16:18:47		I have a roommate	On campus	Over $800 OR on campus					CIT	"Economic considerations (rent, utilities, etc.), Size (amount of space, number of bedrooms, etc.), Proximity to Campus (close), Quality of Housing"	Proximity to Campus (close)	Materials Science & Engineering
4/24/2012 17:12:04		I have a roommate	Off campus	Under $500					CIT	"Economic considerations (rent, utilities, etc.), Size (amount of space, number of bedrooms, etc.), Quality of Housing"	"I wanted to live with my friends in a house, not a dorm. I wanted my own place with my own room with my 4 of my friends. Also, it is cheaper and I feel more on my own. "	Electrical-Computer Engineering
4/24/2012 21:19:57		I have a roommate	Off campus	Under $500					CIT	"Economic considerations (rent, utilities, etc.), Size (amount of space, number of bedrooms, etc.)"	I was looking for good value with space	MSE. EPP
4/24/2012 21:31:29		I have a roommate	On campus	Over $800 OR on campus					CIT	had to 	I was forced	Material science
4/24/2012 21:47:21		I have a roommate	On campus	Over $800 OR on campus					CIT	"Economic considerations (rent, utilities, etc.), Quality of Housing"	"no hassle, easier to deal with"	ECE
4/24/2012 21:50:49		I live alone	On campus	Over $800 OR on campus					CIT	"Proximity to Campus (close), Safety"	better to get to school (more time for work/play/life)	CEE
4/24/2012 21:51:59		I have a roommate	Off campus	$500-$800					CIT	"Economic considerations (rent, utilities, etc.), Social Life"	it was available	chem e
4/24/2012 21:56:01		I have a roommate	Off campus	$500-$800					CIT	"Economic considerations (rent, utilities, etc.), Proximity to Campus (close)"	save $ and walk less to school	CEE. EPP
4/24/2012 21:57:44		I live alone	On campus	Over $800 OR on campus					CIT	"Size (amount of space, number of bedrooms, etc.), Proximity to Campus (close)"	Single	Chem E
4/24/2012 21:58:44		I have a roommate	Off campus	$500-$800					CIT	"Size (amount of space, number of bedrooms, etc.), Proximity to Campus (close)"	because i needed space and a short walk	Chem E. EPP
4/24/2012 21:59:13		I live alone	On campus	Over $800 OR on campus					CIT	"Proximity to Campus (close), greek life"		chem e. EPP
4/26/2012 13:12:48		I have a roommate	On campus	$500-$800					CIT	"Proximity to Campus (close), Safety"	I will not go to class if i live far away from it. Campus housing is convenient though not the most comfortable.	ECE
4/26/2012 13:14:07		I have a roommate	On campus	$500-$800					CIT	"Proximity to Campus (close), Social Life"	Most people i spend time with live on campus. Also a girl living of campus is complicated to explain to parents.	ECE
4/11/2012 20:38:41		I live alone	Off campus	$500-$800					H&SS	"Economic considerations (rent, utilities, etc.), Proximity to Campus (close)"	"I work between 20 and 30 hours a week to pay my bills, so I needed to stay within my budget.  I chose to stay close to campus to reduce the cost of transportation (car, gas, etc.).  I'm also very involved with work and committees on campus, so I needed to be able to get to campus quickly if I needed to."	English
4/11/2012 20:39:37		I have a roommate	Off campus	Under $500					H&SS	"Economic considerations (rent, utilities, etc.), Needed a house quickly"	I am poor. It was almost summer.	Information Systems
4/12/2012 10:39:00		I have a roommate	Off campus	Under $500					H&SS	"Size (amount of space, number of bedrooms, etc.), Quality of Housing"	"I wanted to have my own bedroom for sure, and I wanted to live in a safe neighborhood with a nicer apartment. "	SDS
4/24/2012 16:07:10		I live alone	Off campus	$500-$800					H&SS	"Economic considerations (rent, utilities, etc.), Safety"	"I have a car, but I wanted to live near campus so i was safe walking alone late at night. I also like living alone, so i had to make sure to find a place that was cheap enough that I could afford rent on my own."	Information Systems / Technical Writing and Communication
4/24/2012 16:09:07		I have a roommate	Off campus	$500-$800					H&SS	"Economic considerations (rent, utilities, etc.), Proximity to Campus (close)"	I didn't want to spend a lot of money.  I also wanted to be able to walk to campus since I don't have a car.	Interdepartmental
4/24/2012 16:14:52		I have a roommate	On campus	$500-$800					H&SS	"Size (amount of space, number of bedrooms, etc.), Proximity to Campus (close), Quality of Housing"	Lots of stuff	SDS
4/24/2012 16:15:03		I live alone	Off campus	$500-$800					H&SS	"Size (amount of space, number of bedrooms, etc.), Safety"	"I wanted a room for just myself, but room for more stuff than can fit in a dorm. I also wanted to live with two other people so we needed a place that was more suitable for three people to live there comfortably, each with our own room.  I know that my flatmate decided on our apartment because she wanted a place she could throw parties. "	English
4/24/2012 16:30:50		I live alone	Off campus	Under $500					H&SS	"Economic considerations (rent, utilities, etc.), Size (amount of space, number of bedrooms, etc.), Proximity to Campus (close)"	Finance	IS & Econ/Stat
4/24/2012 16:31:56		I have a roommate	On campus	Over $800 OR on campus					H&SS	"Economic considerations (rent, utilities, etc.), Proximity to Campus (close)"	Closeness to campus was the most crucial for me since I held leadership positions in organizations on campus which required me to stay on campus very late in the evening.	Philosophy Department
4/24/2012 16:47:49		I live alone	On campus	Over $800 OR on campus					H&SS	"Proximity to Campus (close), ability to control my environment"	"I have a medical condition, so I need to be close to campus and I need to be able to control the temperature/noise/light etc, basically everything in my room"	Psychology & Hispanic Studies
4/24/2012 16:58:49		I have a roommate	Off campus	Under $500					H&SS	"Economic considerations (rent, utilities, etc.), Proximity to Campus (close)"	convenience	econ
4/24/2012 16:58:49		I have a roommate	On campus	Over $800 OR on campus					H&SS	"Proximity to Campus (close), Quality of Housing"		SDS
4/24/2012 16:59:31		I have a roommate	Off campus	$500-$800					H&SS	"Economic considerations (rent, utilities, etc.), Proximity to Campus (close)"	finance	HSS
4/24/2012 17:00:03		I live alone	On campus	$500-$800					H&SS	"Economic considerations (rent, utilities, etc.), Proximity to Campus (close)"	convenience	SDS
